place,name,dist_km,lat,lon,osm_type,osm_id
neighbourhood,Pipera,9.7,44.5105364,26.1362439,node,13089011849
neighbourhood,Planorama,4.4,44.4550076,26.1421669,way,238310820
neighbourhood,Plaza Residence,5.2,44.4304326,26.0374315,way,731839554
neighbourhood,Ploiești Sud,56.1,44.9289665,26.029034,way,884374300
neighbourhood,Pomilor,6.8,44.3698417,26.0730132,node,12864754436
neighbourhood,Prozanic,31.1,44.2959456,26.4480177,node,10911520066
neighbourhood,Pupezeni,55.2,44.6832202,26.6987403,node,11027867016
neighbourhood,Republicii Vest I,58.5,44.9482393,26.0032056,way,880298335
neighbourhood,Republicii Vest II,58.0,44.9449175,26.0126345,way,880326846
neighbourhood,Riveriside Residence,24.6,44.495503,25.8075946,node,11986997251
neighbourhood,Romană,2.3,44.4468577,26.0965278,node,12864754437
neighbourhood,Rudului,56.1,44.9281033,26.018739,node,8219109074
neighbourhood,Râfov,55.2,44.921915,26.0525239,way,881103561
neighbourhood,Satul Scandinav,29.0,44.6845077,26.1595926,way,870393797
neighbourhood,Schela,70.4,45.0331066,25.8443795,node,462257253
neighbourhood,Sf. Anton,0.3,44.4298261,26.1033245,node,12185207192
neighbourhood,Sf. Gheorghe,0.6,44.4322331,26.1037427,node,12185177921
neighbourhood,Sf. Vineri,0.5,44.4296824,26.1073351,node,12185181419
neighbourhood,Sf. Ștefan,1.4,44.4339954,26.1162043,node,12187279835
neighbourhood,Sidney Residence - Tunari,14.1,44.5523063,26.1243914,way,375844910
neighbourhood,Străulești Sud,9.7,44.4946278,26.0263236,way,1309603405
neighbourhood,Sunflower Grand Residences,9.5,44.5117472,26.1128966,way,238359266
neighbourhood,Tanasesti,80.5,45.1337002,26.3199578,node,11165632106
neighbourhood,Teatrului,1.2,44.4366423,26.0976113,node,12185221856
neighbourhood,Teiul Doamnei,4.3,44.4608997,26.1267508,node,13566295614
neighbourhood,Ten Blocks - Complexul rezidențial,8.2,44.4324902,25.9991075,way,242420867
neighbourhood,Tineretului,2.0,44.4096914,26.110756,way,14110330
neighbourhood,Trafic greu,2.3,44.4162094,26.0781576,node,13366404852
neighbourhood,Traian,57.9,44.9433179,26.0088794,way,879919785
neighbourhood,Transilvaniei,58.5,44.9498425,26.0281737,way,883126978
neighbourhood,Trend Residence,8.4,44.3880555,26.1931629,way,385029769
neighbourhood,Tudor Vladimirescu,4.6,44.4172655,26.0460126,way,244667064
neighbourhood,Tufeni,26.4,44.4854953,25.7804226,node,11067241475
neighbourhood,Tălpeni,70.3,44.244228,25.2568423,node,11067241481
neighbourhood,Udricani,0.7,44.4298105,26.1098723,node,12185207194
