slug,title,status,has_phone,has_testimonial,testimonial_count,has_placeholders,placeholders,url
animatori-petreceri-botez-bucuresti-ghid,Animatori Petreceri Copii: Personaj Surpriză la Petrecerea Ta! Pachet Premium Superparty în București,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-botez-bucuresti-ghid
animatori-petreceri-copii-alba-ca-zapada-1-decembrie,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în 1 Decembrie,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-1-decembrie
animatori-petreceri-copii-alba-ca-zapada-berceni,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Berceni,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-berceni
animatori-petreceri-copii-alba-ca-zapada-bragadiru,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Bragadiru,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-bragadiru
animatori-petreceri-copii-alba-ca-zapada-branesti,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Brănești,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-branesti
animatori-petreceri-copii-alba-ca-zapada-cernica,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Cernica,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-cernica
animatori-petreceri-copii-alba-ca-zapada-ciorogarla,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Ciorogârla,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-ciorogarla
animatori-petreceri-copii-alba-ca-zapada-dascalu,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Dascălu,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-dascalu
animatori-petreceri-copii-alba-ca-zapada-dobroesti,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Dobroești,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-dobroesti
animatori-petreceri-copii-alba-ca-zapada-domnesti,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Domnești,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-domnesti
animatori-petreceri-copii-alba-ca-zapada-ganeasa,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Găneasa,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-ganeasa
animatori-petreceri-copii-alba-ca-zapada-glina,Animatori Petreceri Copii: Albă ca Zăpada la Petrecerea Ta! Pachet Premium Superparty în Glina,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-alba-ca-zapada-glina
